date_week,province,total_posts,avg_word_count,joy_mean,sadness_mean,anger_mean,fear_mean,surprise_mean,neutral_mean,joy_std,sadness_std,anger_std,fear_std,surprise_std,neutral_std,dominant_emotion_key,dominant_emotion,dominant_score,positive_index,emotional_intensity,fear_joy_ratio,reliable
2019-W50,山东,13,286.46153846153845,0.13846153846153847,0.038461538461538464,0.06923076923076922,0.019230769230769232,0.12692307692307694,0.6076923076923078,0.24761684628494599,0.0869718492622904,0.19741924671712982,0.06933752452815364,0.20064000163579113,0.3650605850666856,neutral,中性,0.6076923076923078,1.0112359550561798,0.39230769230769225,0.12953367875647667,False
2019-W50,山西,4,232.5,0.0125,0.0625,0.15,0.05,0.025,0.7,0.025,0.09464847243000456,0.23804761428476168,0.1,0.02886751345948129,0.3559026084010437,neutral,中性,0.7,0.045871559633027525,0.30000000000000004,2.2222222222222223,False
2019-W50,广东,35,388.9142857142857,0.23142857142857143,0.02,0.10857142857142857,0.045714285714285714,0.10571428571428572,0.4885714285714286,0.2987930904896727,0.044058784261350604,0.23809467787048938,0.10244900350578201,0.16123212558087713,0.3395684359434422,neutral,中性,0.4885714285714286,1.255813953488372,0.5114285714285713,0.1893491124260355,True
2019-W50,广西,9,276.1111111111111,0.24444444444444446,0.01666666666666667,0.09444444444444444,0.01666666666666667,0.1111111111111111,0.5166666666666667,0.3273419890233726,0.035355339059327376,0.23243876134968922,0.035355339059327376,0.11931517552730293,0.3657184709581948,neutral,中性,0.5166666666666667,1.774193548387097,0.4833333333333333,0.06550218340611354,False
2019-W50,新疆,4,282.75,0.1875,0.0125,0.0125,0.0,0.07500000000000001,0.7124999999999999,0.27801378862687126,0.025,0.025,0.0,0.09574271077563382,0.2954516316872639,neutral,中性,0.7124999999999999,5.357142857142857,0.2875000000000001,0.0,False
2019-W50,江苏,16,274.5,0.2125,0.05,0.08125,0.025,0.11875000000000001,0.5125,0.24731895735399392,0.12110601416389967,0.15585784121008048,0.044721359549995794,0.13275918047351754,0.24731895735399392,neutral,中性,0.5125,1.2781954887218043,0.48750000000000004,0.11235955056179776,False
2019-W50,江西,1,155.0,0.0,0.0,0.0,0.0,0.05,0.95,,,,,,,neutral,中性,0.95,0.0,0.050000000000000044,0.0,False
2019-W50,河北,5,356.0,0.32,0.12,0.06,0.01,0.030000000000000006,0.45999999999999996,0.4381780460041329,0.21679483388678802,0.1341640786499874,0.0223606797749979,0.0447213595499958,0.3830796261875591,neutral,中性,0.45999999999999996,1.5999999999999999,0.54,0.030303030303030304,False
2019-W50,河南,14,343.0,0.30357142857142855,0.08928571428571429,0.014285714285714287,0.1142857142857143,0.08571428571428572,0.39285714285714285,0.36818906395109946,0.14435342769713536,0.05345224838248489,0.17478401113789144,0.10271051820261909,0.31553199451155434,neutral,中性,0.39285714285714285,1.3322884012539182,0.6071428571428572,0.36446469248291574,False
2019-W50,浙江,13,317.61538461538464,0.4384615384615384,0.03461538461538462,0.019230769230769232,0.06153846153846154,0.18076923076923077,0.2653846153846154,0.30149201630795447,0.047366546671567096,0.0560448538317805,0.15566235649883123,0.12835247942427513,0.249486652435736,joy,喜悦,0.4384615384615384,3.496932515337422,0.7346153846153847,0.13722126929674103,False
2019-W50,海南,1,448.0,0.0,0.3,0.6,0.0,0.0,0.1,,,,,,,anger,愤怒,0.6,0.0,0.9,0.0,False
2019-W50,湖北,25,336.04,0.258,0.07,0.055999999999999994,0.02,0.046,0.55,0.29533878851244716,0.1010362971081845,0.1679037422652237,0.035355339059327376,0.05188127472091127,0.3741657386773941,neutral,中性,0.55,1.653846153846154,0.44999999999999996,0.07462686567164178,False
2019-W50,湖南,9,491.3333333333333,0.1888888888888889,0.07777777777777778,0.06666666666666667,0.03333333333333333,0.1111111111111111,0.5222222222222223,0.23819343213260755,0.17159383568311667,0.2,0.1,0.1596437005055668,0.36581340112746613,neutral,中性,0.5222222222222223,1.0059171597633139,0.47777777777777775,0.16759776536312845,False
2019-W50,澳门,2,176.0,0.0,0.025,0.7749999999999999,0.0,0.1,0.1,0.0,0.03535533905932738,0.1060660171779821,0.0,0.14142135623730953,0.0,anger,愤怒,0.7749999999999999,0.0,0.9,0.0,False
2019-W50,甘肃,3,197.33333333333334,0.0033333333333333335,0.32,0.25333333333333335,0.02,0.013333333333333334,0.38999999999999996,0.005773502691896258,0.42154477816715985,0.4301550108197431,0.026457513110645908,0.015275252316519466,0.4932544982055409,neutral,中性,0.38999999999999996,0.0055248618784530384,0.6100000000000001,1.5,False
2019-W50,福建,10,140.0,0.045,0.03,0.09,0.030000000000000006,0.12,0.6849999999999999,0.0955975359979999,0.053748384988657,0.25144029554194813,0.0483045891539648,0.19321835661585918,0.3180234093410246,neutral,中性,0.6849999999999999,0.28125,0.31500000000000006,0.5454545454545455,False
2019-W50,西藏,1,155.0,0.1,0.0,0.0,0.0,0.1,0.8,,,,,,,neutral,中性,0.8,10.0,0.19999999999999996,0.0,False
2019-W50,贵州,2,228.0,0.0,0.0,0.0,0.05,0.4,0.55,0.0,0.0,0.0,0.07071067811865477,0.5656854249492381,0.6363961030678927,neutral,中性,0.55,0.0,0.44999999999999996,5.0,False
2019-W50,辽宁,4,242.0,0.0,0.0625,0.05,0.07500000000000001,0.0625,0.75,0.0,0.07500000000000001,0.05773502691896258,0.09574271077563382,0.09464847243000456,0.25495097567963926,neutral,中性,0.75,0.0,0.25,7.500000000000001,False
2019-W50,重庆,6,385.3333333333333,0.225,0.016666666666666666,0.03333333333333333,0.0,0.09166666666666667,0.6333333333333333,0.21621748310439654,0.040824829046386304,0.08164965809277261,0.0,0.15625833311112297,0.26956755492207635,neutral,中性,0.6333333333333333,3.75,0.3666666666666667,0.0,False
